abbr;name
vihr kuppij;Solorina saccata
achmil;Achillea millefolium
sianka;Achillea millefolium
skarsamo;Achillea millefolium
konnanm;Actaea spicata
agrcap;Agrostis capillaris
agrmer;Agrostis mertensii
aqrmer;Agrostis mertensii
agrvin;Agrostis vinealis
alchem;Alchemilla
alcspp;Alchemilla
alcalp;Alchemilla alpina
alcglo;Alchemilla glomerulans
alcmur;Alchemilla murbeckiana
alcwic;Alchemilla wichurae
gownig;Alectoria nigricans
aleoch;Alectoria ochroleuca
alesar;Alectoria sarmentosa
alnglu;Alnus glutinosa
alninc;Alnus incana
andniv;Andreaea nivalis
andrup;Andreaea rupestris
andpo;Andromeda polifolia
andpol;Andromeda polifolia
valkov;Anemone nemorosa
valkovuo;Anemone nemorosa
angarc;Angelica archangelica
karhunputki;Angelica sylvestris
antalp;Antennaria alpina
antcan;Antennaria canescens
antdio;Antennaria dioica
antvil;Antennaria lanata
antnor;Antennaria nordhageniana
antpor;Antennaria porsildii
hiealp;Anthoxanthum monticola
hieroa;Anthoxanthum monticola
anthalp;Anthoxanthum nipponicum
hiehir;Anthoxanthum nitens
antxal;Anthoxanthum odoratum
antchr;Anthriscus sylvestris
antsyl;Anthriscus sylvestris
vuohenp;Anthriscus sylvestris
antvul;Anthyllis vulneraria
masmalo;Anthyllis vulneraria
araalp;Arabis alpina
archyp;Arctoa hyperborea
arcuva;Arctostaphylos uva-ursi
arcalp;Arctous alpina
arenor;Arenaria norvegica
arepse;Arenaria pseudofrigida
armsca;Armeria scabra
armsib;Armeria scabra
arnang;Arnica angustifolia
raunio;Asplenium
aspvir;Asplenium viride
astalp;Astragalus alpinus
astfri;Astragalus frigidus
athdis;Athyrium distentifolium
isomyyrä;Atrichum undulatum
aulpal;Aulacomnium palustre
aultur;Aulacomnium turgidum
desfle;Avenella flexuosa
baepla;Baeomyces placophyllus
barspp;Bartramia
barith;Bartramia ithyphylla
barpom;Bartramia pomiformis
omenas;Bartramia pomiformis
baralp;Bartsia alpina
betnan;Betula nana
betcze;Betula pubescens
betpub;Betula pubescens
bisviv;Bistorta vivipara
bliacu;Blindia acuta
botbor;Botrychium boreale
botlan;Botrychium lanceolatum
