site,T1_mean_annual,T1_min_annual,T3_max_annual,T1_TDD_annual,T3_TDD_annual,T1_GDD3_annual,T3_GDD3_annual,T3_FDD_annual,T1_mean_Jun,T3_mean_Jun,T1_mean_Jul,T3_mean_Jul,T1_min_Jun,T3_min_Jun,T1_start_of_season_growing_season,T3_start_of_season_growing_season,T1_freeze_thaw_freq_annual,T3_freeze_thaw_freq_annual,moist_mean_Jun,moist_median_Jun,moist_mean_Jul,moist_median_Jul,moist_iqr90_growing_season
AE01,2.8673577558512364,-0.801,29.25,1120.115796875,1222.4283333333333,1081.8457604166667,1187.6679166666668,-656.1870208333333,6.5668340277777775,10.790547222222223,11.399453629032259,12.62561559139785,1.07,-1.874,154.5,146.75,2.2,154.6,33.841104853479855,33.96625,29.61046370967742,29.7675,7.705781249999998
AE02,3.4926861824191557,-0.64,27.25,1347.1952083333333,1217.5767968750001,1319.1565625,1181.2900520833332,-410.9455208333333,10.566615277777778,10.636114583333335,13.941718413978494,12.578063172043011,2.7359999999999998,-0.674,149.25,148,5.2,202,55.2230858227022,56.279375,46.07136424731183,45.14604166666667,16.839986979166667
AE03,3.7143230439606882,-0.187,32.4945,1365.1708645833335,1232.3078958333333,1259.0804062500001,1197.7545833333334,-572.5024708333333,9.847195833333334,11.292022222222222,11.556018145161291,12.803590053763442,4.328,-2.718,143.5,147.5,1,169,52.92321794871795,53.23447916666667,46.53005376344086,46.325208333333336,12.649440104166665
AE04,3.1692059014911917,-0.955,29.205000000000002,1264.2029947916667,1240.0448177083333,1234.1730989583334,1207.1735416666666,-785.1807083333334,9.358049305555555,11.165399305555557,13.293153897849463,12.811368279569892,2.486,-1.89,149.75,148,3.6,162.2,43.912602674624225,43.69927083333333,41.10628360215054,41.05979166666667,6.846757812499998
AE05,2.949779281660148,-0.1805,29.7175,1093.1295807291667,1115.7893489583334,1037.3512916666666,1080.1398177083333,-492.3553125,7.068225416666667,9.825077083333333,10.6312938172043,11.834004032258065,2.1437999999999997,-1.298,152.75,155.25,1,152.8,50.80160470364565,50.70854166666667,49.56225806451613,49.647083333333335,3.9402213541666686
AE06,2.913028343485665,-1.5414999999999999,29.771,1174.8933854166667,1188.4376666666667,1146.1592239583333,1150.0224270833332,-644.9631125,8.309213194444444,10.536988888888889,11.971975806451612,12.295002688172044,2.049,-1.151,152.75,149.5,3,142.4,33.300126247594996,33.271458333333335,29.769543010752688,29.96625,9.784791666666663
AE07,2.8455064691874385,-0.2835,27.7545,1066.9216927083335,1086.8541979166666,1023.7967708333333,1051.16175,-518.361575,7.6128,9.427574305555556,10.883718413978494,11.51102755376344,1.903,-1.1520000000000001,152,155,1.8,176.6,52.02874776785714,51.772708333333334,49.28980510752688,49.348333333333336,5.959804687500004
AE08,2.982293653467076,-0.749,31.675,1167.49134375,1150.8468229166667,1139.127109375,1117.6499739583332,-556.4992083333333,7.957182638888889,9.981403472222222,11.663666666666666,12.286766129032259,2.041,-0.8619999999999999,152.25,155.5,9.8,151.6,34.682607593101345,34.559375,28.27579301075269,28.42770833333333,12.727708333333334
AE09,2.8321287870458742,-0.9635,33.19,1119.0931302083334,1158.4523177083333,1079.0223958333333,1120.95484375,-573.4372708333333,6.6470125,9.654805555555557,11.54849059139785,12.735534946236559,0.871,-0.888,156,157.5,10.8,178.6,35.738195179367736,35.71541666666667,31.188810483870967,31.523125,12.54006510416667
AE10,2.9974336047639545,-0.9195,29.895,1172.9816197916666,1225.1188541666666,1128.6761927083332,1188.3497656250001,-544.8795,6.965691666666666,10.623065972222221,11.304346102150538,12.623163978494622,1.695,-0.6759999999999999,153.5,149.25,1.2,150.6,32.60980789229927,32.91354166666667,28.716424731182794,29.062291666666667,11.104674479166668
