site,date,var,sensor,period,value,imputed_percentage
K24,2020-08-25,TDD,T1,moment,603.7553125000001,0.14457831325301204
K24,2020-08-25,TDD_days,T1,moment,83,0.14457831325301204
K24,2020-08-25,TDD,T3,moment,868.2660416666666,0.11328125
K24,2020-08-25,TDD_days,T3,moment,80,0.11328125
K24,2020-08-25,GDD3,T1,moment,597.2058333333333,0.0273972602739726
K24,2020-08-25,GDD3_days,T1,moment,73,0.0273972602739726
K24,2020-08-25,GDD3,T3,moment,863.1501041666667,0.07873376623376624
K24,2020-08-25,GDD3_days,T3,moment,77,0.07873376623376624
K24,2020-08-25,GMD,moist,moment,2058.641993006993,0.07792207792207792
K24,2020-08-25,date_mean,T1,moment,8.6821875,0
K24,2020-08-25,date_mean,T3,moment,7.7203125,0
K24,2020-08-25,date_mean,moist,moment,26.371875,0
K24,2020-08-25,week_mean,T1,moment,9.060744047619048,0
K24,2020-08-25,week_mean,T3,moment,10.123586309523809,0
K24,2020-08-25,week_mean,moist,moment,26.669494047619047,0
K24,2020-08-25,fortnight_mean,T1,moment,8.970989583333333,0
K24,2020-08-25,fortnight_mean,T3,moment,9.4628125,0
K24,2020-08-25,fortnight_mean,moist,moment,25.627455357142857,0
K24,2020-08-25,month_mean,T1,moment,9.817652529761904,0
K24,2020-08-25,month_mean,T3,moment,11.738467261904761,0
K24,2020-08-25,month_mean,moist,moment,24.347619047619048,0
K23,2020-08-26,TDD,T1,moment,775.3197916666667,0.1590909090909091
K23,2020-08-26,TDD_days,T1,moment,88,0.1590909090909091
K23,2020-08-26,TDD,T3,moment,932.5813541666666,0.1956521739130435
K23,2020-08-26,TDD_days,T3,moment,92,0.1956521739130435
K23,2020-08-26,GDD3,T1,moment,759.1570833333334,0.05128205128205128
K23,2020-08-26,GDD3_days,T1,moment,78,0.05128205128205128
K23,2020-08-26,GDD3,T3,moment,928.5314583333334,0.13953488372093023
K23,2020-08-26,GDD3_days,T3,moment,86,0.13953488372093023
K23,2020-08-26,GMD,moist,moment,1432.5817430407656,0.13953488372093023
K23,2020-08-26,date_mean,T1,moment,8.782604166666667,0
K23,2020-08-26,date_mean,T3,moment,6.748645833333334,0
K23,2020-08-26,date_mean,moist,moment,21.511458333333334,0
K23,2020-08-26,week_mean,T1,moment,9.664330357142857,0
K23,2020-08-26,week_mean,T3,moment,9.657723214285715,0
K23,2020-08-26,week_mean,moist,moment,15.981696428571428,0
K23,2020-08-26,fortnight_mean,T1,moment,9.573556547619049,0
K23,2020-08-26,fortnight_mean,T3,moment,9.239732142857143,0
K23,2020-08-26,fortnight_mean,moist,moment,14.09955357142857,0
K23,2020-08-26,month_mean,T1,moment,10.906049107142858,0
K23,2020-08-26,month_mean,T3,moment,11.354590773809523,0
K23,2020-08-26,month_mean,moist,moment,14.100148809523809,0
K12,2020-08-25,TDD,T1,moment,712.834375,0.21978021978021978
K12,2020-08-25,TDD_days,T1,moment,91,0.21978021978021978
K12,2020-08-25,TDD,T3,moment,975.156875,0.26804123711340205
K12,2020-08-25,TDD_days,T3,moment,97,0.26804123711340205
K12,2020-08-25,GDD3,T1,moment,699.3426041666667,0.12345679012345678
K12,2020-08-25,GDD3_days,T1,moment,81,0.12345679012345678
K12,2020-08-25,GDD3,T3,moment,965.9294791666666,0.2111111111111111
K12,2020-08-25,GDD3_days,T3,moment,90,0.2111111111111111
K12,2020-08-25,GMD,moist,moment,879.5467791811847,0.16470588235294117
K12,2020-08-25,date_mean,T1,moment,9.140104166666667,0
K12,2020-08-25,date_mean,T3,moment,7.978125,0
K12,2020-08-25,date_mean,moist,moment,20.11145833333333,0
K12,2020-08-25,week_mean,T1,moment,9.226741071428572,0
K12,2020-08-25,week_mean,T3,moment,10.293809523809523,0
K12,2020-08-25,week_mean,moist,moment,11.314136904761904,0
K12,2020-08-25,fortnight_mean,T1,moment,9.264553571428571,0
K12,2020-08-25,fortnight_mean,T3,moment,9.678504464285714,0
K12,2020-08-25,fortnight_mean,moist,moment,10.081622023809524,0
K12,2020-08-25,month_mean,T1,moment,10.376365327380952,0
K12,2020-08-25,month_mean,T3,moment,11.77303943452381,0
K12,2020-08-25,month_mean,moist,moment,8.487053571428572,0
K11,2020-08-25,TDD,T1,moment,844.1945833333333,0.2
K11,2020-08-25,TDD_days,T1,moment,90,0.2
K11,2020-08-25,TDD,T3,moment,957.7754166666666,0.24210526315789474
K11,2020-08-25,TDD_days,T3,moment,95,0.24210526315789474
K11,2020-08-25,GDD3,T1,moment,833.4896875000001,0.13253012048192772
K11,2020-08-25,GDD3_days,T1,moment,83,0.13253012048192772
K11,2020-08-25,GDD3,T3,moment,950.9736458333333,0.1724137931034483
K11,2020-08-25,GDD3_days,T3,moment,87,0.1724137931034483
K11,2020-08-25,GMD,moist,moment,1434.4196922183507,0.15294117647058825
K11,2020-08-25,date_mean,T1,moment,9.464479166666667,0
K11,2020-08-25,date_mean,T3,moment,8.042395833333334,0
K11,2020-08-25,date_mean,moist,moment,17.091666666666665,0
K11,2020-08-25,week_mean,T1,moment,10.153318452380953,0
K11,2020-08-25,week_mean,T3,moment,10.356116071428572,0
K11,2020-08-25,week_mean,moist,moment,16.55342261904762,0
K11,2020-08-25,fortnight_mean,T1,moment,10.049769345238095,0
K11,2020-08-25,fortnight_mean,T3,moment,9.74733630952381,0
K11,2020-08-25,fortnight_mean,moist,moment,14.886011904761904,0
K11,2020-08-25,month_mean,T1,moment,11.688084077380953,0
K11,2020-08-25,month_mean,T3,moment,11.882533482142858,0
K11,2020-08-25,month_mean,moist,moment,12.88407738095238,0
K10,2020-08-19,TDD,T1,moment,772.8936458333334,0.22988505747126436
K10,2020-08-19,TDD_days,T1,moment,87,0.22988505747126436
K10,2020-08-19,TDD,T3,moment,942.3242708333333,0.30927835051546393
K10,2020-08-19,TDD_days,T3,moment,97,0.30927835051546393
K10,2020-08-19,GDD3,T1,moment,762.6603125,0.1728395061728395
K10,2020-08-19,GDD3_days,T1,moment,81,0.1728395061728395
K10,2020-08-19,GDD3,T3,moment,934.3789583333333,0.23863636363636365
K10,2020-08-19,GDD3_days,T3,moment,88,0.23863636363636365
K10,2020-08-19,GMD,moist,moment,1321.7313080720094,0.1518987341772152
K10,2020-08-19,date_mean,T1,moment,9.845208333333334,0
K10,2020-08-19,date_mean,T3,moment,11.659375,0
K10,2020-08-19,date_mean,moist,moment,16.003125,0
K10,2020-08-19,week_mean,T1,moment,10.055342261904762,0
