site,site2,setting,date
VAR029,VAR029,VAR,2021-07-02
VAR027,VAR027,VAR,2021-07-04
VAR041,VAR041,VAR,2021-07-05
VAR014,VAR014,VAR,2021-07-02
VAR053,VAR053,VAR,2021-07-02
VAR011,VAR011,VAR,2021-07-02
VAR025,VAR025,VAR,2021-07-05
VAR031,VAR031,VAR,2021-07-05
VAR050,VAR050,VAR,2021-07-05
VAR012,VAR012,VAR,2021-07-05
VAR016,VAR016,VAR,2021-07-05
VAR007,VAR007,VAR,2021-07-05
VAR002,VAR002,VAR,2021-07-05
VAR054,VAR054,VAR,2021-07-05
VAR052,VAR052,VAR,2021-07-05
VAR022,VAR022,VAR,2021-07-06
VAR001,VAR001,VAR,2021-07-06
VAR035,VAR035,VAR,2021-07-06
VAR006,VAR006,VAR,2021-07-09
VAR037,VAR037,VAR,2021-07-09
VAR044,VAR044,VAR,2021-07-09
VAR005,VAR005,VAR,2021-07-09
VAR017,VAR017,VAR,2021-07-09
VAR045,VAR045,VAR,2021-07-09
VAR039,VAR039,VAR,2021-07-09
VAR008,VAR008,VAR,2021-07-09
VAR038,VAR038,VAR,2021-07-09
VAR018,VAR018,VAR,2021-07-09
VAR021,VAR021,VAR,2021-07-09
VAR048,VAR048,VAR,2021-07-09
VAR036,VAR036,VAR,2021-07-09
VAR042,VAR042,VAR,2021-07-09
VAR032,VAR032,VAR,2021-07-09
VAR046,VAR046,VAR,2021-07-04
VAR051,VAR051,VAR,2021-07-04
VAR047,VAR047,VAR,2021-07-04
VAR028,VAR028,VAR,2021-07-04
VAR003,VAR003,VAR,2021-07-04
VAR040,VAR040,VAR,2021-07-04
VAR030,VAR030,VAR,2021-07-03
VAR010,VAR010,VAR,2021-07-03
VAR004,VAR004,VAR,2021-07-03
VAR026,VAR026,VAR,2021-07-03
VAR023,VAR023,VAR,2021-07-03
VAR033,VAR033,VAR,2021-07-03
VAR015,VAR015,VAR,2021-07-03
VAR020,VAR020,VAR,2021-07-03
OUL058,OUL058,OUL,2023-06-29
OUL060,OUL060,OUL,2023-06-23
OUL059,OUL059,OUL,2023-06-23
OUL027,OUL027,OUL,2023-06-27
OUL026,OUL026,OUL,2023-06-27
OUL018,OUL018,OUL,2023-06-23
OUL019,OUL019,OUL,2023-06-23
OUL022,OUL022,OUL,2023-06-27
OUL023,OUL023,OUL,2023-06-27
OUL020,OUL020,OUL,2023-06-23
OUL021,OUL021,OUL,2023-06-23
OUL024,OUL024,OUL,2023-06-27
OUL025,OUL025,OUL,2023-06-27
OUL028,OUL028,OUL,2023-06-23
OUL068,OUL068,OUL,2023-06-27
OUL102,OUL102,OUL,2023-06-27
OUL103,OUL103,OUL,2023-06-27
OUL063,OUL063,OUL,2023-06-27
OUL013,OUL013,OUL,2023-06-28
OUL014,OUL014,OUL,2023-06-28
OUL015,OUL015,OUL,2023-06-28
OUL016,OUL016,OUL,2023-06-28
OUL012,OUL012,OUL,2023-06-28
OUL070,OUL070,OUL,2023-06-28
OUL071,OUL071,OUL,2023-06-28
OUL074,OUL074,OUL,2023-06-28
OUL072,OUL072,OUL,2023-06-28
OUL073,OUL073,OUL,2023-06-28
OUL051,OUL051,OUL,2023-06-29
OUL050,OUL050,OUL,2023-06-29
OUL052,OUL052,OUL,2023-06-29
OUL049,OUL049,OUL,2023-06-29
OUL053,OUL053,OUL,2023-06-29
OUL054,OUL054,OUL,2023-06-29
OUL047,OUL047,OUL,2023-06-29
OUL048,OUL048,OUL,2023-06-29
OUL055,OUL055,OUL,2023-06-29
OUL036,OUL036,OUL,2023-06-25
OUL006,OUL006,OUL,2023-06-25
OUL005,OUL005,OUL,2023-06-25
OUL035,OUL035,OUL,2023-06-25
OUL007,OUL007,OUL,2023-06-25
OUL069,OUL069,OUL,2024-06-25
OUL101,OUL101,OUL,2024-06-25
OUL064,OUL064,OUL,2024-06-25
OUL063,OUL063,OUL,2024-06-25
OUL062,OUL062,OUL,2024-06-25
OUL061,OUL061,OUL,2024-06-25
OUL057,OUL057,OUL,2024-06-25
OUL004,OUL004,OUL,2024-06-26
OUL002,OUL002,OUL,2024-06-26
OUL003,OUL003,OUL,2024-06-26
OUL088,OUL088,OUL,2024-06-28
OUL085,OUL085,OUL,2024-06-28
OUL105,OUL105,OUL,2024-06-28
OUL084,OUL084,OUL,2024-06-28
OUL083,OUL083,OUL,2024-06-28
OUL082,OUL082,OUL,2024-06-28
OUL081,OUL081,OUL,2024-06-28
OUL080,OUL080,OUL,2024-06-28
OUL079,OUL079,OUL,2024-06-28
OUL087,OUL087,OUL,2024-06-28
OUL086,OUL086,OUL,2024-06-28
OUL039,OUL039,OUL,2024-06-27
OUL046,OUL046,OUL,2024-06-27
OUL037,OUL037,OUL,2024-06-27
OUL038,OUL038,OUL,2024-06-27
OUL001,OUL001,OUL,2024-06-26
OUL034,OUL034,OUL,2024-06-26
OUL056,OUL056,OUL,2024-06-26
OUL041,OUL041,OUL,2024-06-26
OUL040,OUL040,OUL,2024-06-26
OUL030,OUL030,OUL,2024-06-26
OUL029,OUL029,OUL,2024-06-26
OUL033,OUL033,OUL,2024-06-26
OUL031,OUL031,OUL,2024-06-26
OUL042,OUL042,OUL,2024-06-26
OUL043,OUL043,OUL,2024-06-26
OUL044,OUL044,OUL,2024-06-27
OUL045,OUL045,OUL,2024-06-27
RAS001,RAS001,RAS,2023-07-29
RAS102,RAS102,RAS,2023-07-29
RAS104,RAS104,RAS,2023-07-29
RAS107,RAS107,RAS,2023-07-29
RAS109,RAS109,RAS,2023-07-29
RAS011,RAS011,RAS,2023-07-29
RAS110,RAS110,RAS,2023-07-28
RAS113,RAS113,RAS,2023-07-29
RAS116,RAS116,RAS,2023-07-29
RAS118,RAS118,RAS,2023-07-29
RAS012,RAS012,RAS,2023-07-29
RAS121,RAS121,RAS,2023-07-29
RAS123,RAS123,RAS,2023-07-29
RAS125,RAS125,RAS,2023-07-29
RAS015,RAS015,RAS,2023-07-29
RAS017,RAS017,RAS,2023-07-29
RAS022,RAS022,RAS,2023-07-29
RAS025,RAS025,RAS,2023-07-29
RAS027,RAS027,RAS,2023-07-29
RAS029,RAS029,RAS,2023-07-29
RAS003,RAS003,RAS,2023-07-29
RAS031,RAS031,RAS,2023-07-29
RAS036,RAS036,RAS,2023-07-29
RAS040,RAS040,RAS,2023-07-29
RAS042,RAS042,RAS,2023-07-29
RAS044,RAS044,RAS,2023-07-29
RAS046,RAS046,RAS,2023-07-29
RAS050,RAS050,RAS,2023-07-29
RAS052,RAS052,RAS,2023-07-29
RAS056,RAS056,RAS,2023-07-29
RAS060,RAS060,RAS,2023-07-29
RAS063,RAS063,RAS,2023-07-28
RAS064,RAS064,RAS,2023-07-28
RAS065,RAS065,RAS,2023-07-29
RAS066,RAS066,RAS,2023-07-29
RAS068,RAS068,RAS,2023-07-28
RAS070,RAS070,RAS,2023-07-29
RAS071,RAS071,RAS,2023-07-29
RAS073,RAS073,RAS,2023-07-29
RAS077,RAS077,RAS,2023-07-28
RAS079,RAS079,RAS,2023-07-29
RAS008,RAS008,RAS,2023-07-29
RAS083,RAS083,RAS,2023-07-29
RAS088,RAS088,RAS,2023-07-28
RAS092,RAS092,RAS,2023-07-29
RAS095,RAS095,RAS,2023-07-29
RAS097,RAS097,RAS,2023-07-29
RAS098,RAS098,RAS,2023-07-29
RAS099,RAS099,RAS,2023-07-28
MAT041,MAT041,MAT,2023-07-31
MAT042,MAT042,MAT,2023-07-31
MAT043,MAT043,MAT,2023-07-31
MAT018,MAT018,MAT,2023-07-31
MAT021,MAT021,MAT,2023-07-31
MAT019,MAT019,MAT,2023-07-31
MAT027,MAT027,MAT,2023-07-31
MAT029,MAT029,MAT,2023-07-31
MAT028,MAT028,MAT,2023-07-31
MAT031,MAT031,MAT,2023-07-31
MAT030,MAT030,MAT,2023-07-31
MAT026,MAT026,MAT,2023-07-31
MAT025,MAT025,MAT,2023-07-31
MAT024,MAT024,MAT,2023-07-31
MAT023,MAT023,MAT,2023-07-31
MAT022,MAT022,MAT,2023-07-31
MAT048,MAT048,MAT,2023-07-31
MAT047,MAT047,MAT,2023-07-31
MAT044,MAT044,MAT,2023-07-31
MAT046,MAT046,MAT,2023-07-31
MAT045,MAT045,MAT,2023-07-31
MAT007,MAT007,MAT,2023-07-30
MAT006,MAT006,MAT,2023-07-30
MAT005,MAT005,MAT,2023-07-30
MAT008,MAT008,MAT,2023-07-30
MAT009,MAT009,MAT,2023-07-30
MAT004,MAT004,MAT,2023-07-30
MAT001,MAT001,MAT,2023-07-30
MAT002,MAT002,MAT,2023-07-30
MAT003,MAT003,MAT,2023-07-30
MAT035,MAT035,MAT,2023-07-31
MAT034,MAT034,MAT,2023-07-31
MAT033,MAT033,MAT,2023-07-31
MAT032,MAT032,MAT,2023-07-31
MAT036,MAT036,MAT,2023-07-31
MAT037,MAT037,MAT,2023-07-31
MAT050,MAT050,MAT,2023-07-31
MAT049,MAT049,MAT,2023-07-31
MAT016,MAT016,MAT,2023-07-31
MAT017,MAT017,MAT,2023-07-31
MAT015,MAT015,MAT,2023-07-31
MAT014,MAT014,MAT,2023-07-31
MAT013,MAT013,MAT,2023-07-31
MAT012,MAT012,MAT,2023-07-31
MAT040,MAT040,MAT,2023-08-01
MAT010,MAT010,MAT,2023-08-01
MAT038,MAT038,MAT,2023-08-01
MAT039,MAT039,MAT,2023-08-01
MAT011,MAT011,MAT,2023-08-01
VIN022,VIN022,VIN,2023-08-08
VIN037,VIN037,VIN,2023-08-08
VIN028,VIN028,VIN,2023-08-08
VIN019,VIN019,VIN,2023-08-08
VIN029,VIN029,VIN,2023-08-08
VIN030,VIN030,VIN,2023-08-08
VIN027,VIN027,VIN,2023-08-08
VIN031,VIN031,VIN,2023-08-08
VIN011,VIN011,VIN,2023-08-08
VIN016,VIN016,VIN,2023-08-08
VIN032,VIN032,VIN,2023-08-08
VIN035,VIN035,VIN,2023-08-08
VIN033,VIN033,VIN,2023-08-08
VIN015,VIN015,VIN,2023-08-08
VIN052,VIN052,VIN,2023-08-08
VIN043,VIN043,VIN,2023-08-08
VIN036,VIN036,VIN,2023-08-08
