site,setting,plot_type,date,species,cvr,median_height,max_height,reproduction,n_inds,n_leaf,w_weight,d_weight,n_leaf_image,area_sum,leaf_area,SLA,LDMC
K24,roslin,a,2020-08-25,Betula nana,2,38,38,1,3,6,0.154,0.0628,6,7.4959999999999996,1.2493333333333332,119.36305732484077,0.40779220779220776
K24,roslin,a,2020-08-25,Vaccinium vitis-idaea,3,2,3,2,3,6,0.111,0.0482,6,3.623,0.6038333333333333,75.16597510373444,0.43423423423423424
K24,roslin,a,2020-08-25,Avenella flexuosa,0.25,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,a,2020-08-25,Vaccinium myrtillus,15,5,8,2,3,6,0.0606,0.0249,6,3.336,0.5559999999999999,133.97590361445782,0.41089108910891087
K24,roslin,b,2020-08-25,Betula nana,3,34,49,1,3,6,0.154,0.0628,6,7.4959999999999996,1.2493333333333332,119.36305732484077,0.40779220779220776
K24,roslin,b,2020-08-25,Empetrum nigrum,2,8,13,3,3,30,0.0509,0.0241,30,1.554,0.0518,64.48132780082987,0.47347740667976423
K24,roslin,b,2020-08-25,Vaccinium uliginosum,4,8,13,1,3,6,0.1099,0.0424,6,5.492,0.9153333333333333,129.52830188679246,0.38580527752502275
K24,roslin,b,2020-08-25,Vaccinium vitis-idaea,2,3,6,2,3,6,0.111,0.0482,6,3.623,0.6038333333333333,75.16597510373444,0.43423423423423424
K24,roslin,b,2020-08-25,Anthoxanthum nipponicum,0.25,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,b,2020-08-25,Calamagrostis lapponica,0.25,13,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,b,2020-08-25,Avenella flexuosa,0.25,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,b,2020-08-25,Juncus trifidus,2,11,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,b,2020-08-25,Linnaea borealis,0.25,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,b,2020-08-25,Phyllodoce caerulea,4,9,16,4,3,24,0.0646,0.0304,24,2.605,0.10854166666666666,85.6907894736842,0.4705882352941176
